avarage population per month in given year/ per state,2013,2014,2015,2016,2017
Alabama,402305.0,403336.4166666667,404238.1666666667,405045.4166666667,406228.9166666667
Alaska,61396.666666666664,61396.583333333336,61498.25,61793.5,61649.583333333336
Arizona,551343.6666666666,558869.5833333334,566855.1666666666,575720.1666666666,584689.1666666666
Arkansas,246398.33333333334,247066.66666666666,247968.83333333334,249019.25,250356.58333333334
California,3195615.25,3225106.5,3252703.6666666665,3274706.3333333335,3294721.0833333335
Colorado,438546.3333333333,445192.5833333333,453370.4166666667,460842.0833333333,467262.8333333333
Connecticut,300205.8333333333,300015.6666666667,299488.5,298973.75,299015.3333333333
Delaware,77092.83333333333,77900.41666666667,78675.58333333333,79391.5,80161.58333333333
Florida,1632077.25,1658145.5833333333,1689047.25,1721382.4166666667,1748700.0
Georgia,831814.4166666666,840320.8333333334,849961.0833333334,859468.3333333334,869114.9166666666
Hawaii,117336.5,118142.5,118860.0,119056.91666666667,118961.5
Idaho,134182.25,135865.91666666666,137443.66666666666,140002.16666666666,143078.58333333334
Illinois,1074200.25,1073536.5,1071837.5833333333,1069643.8333333333,1066835.25
Indiana,547290.3333333334,549431.8333333334,550883.0,552833.9166666666,555568.1666666666
Iowa,257489.66666666666,258796.91666666666,259872.75,260905.75,262142.58333333334
Kansas,241075.0,241629.41666666666,242149.08333333334,242310.91666666666,242760.25
Kentucky,366593.4166666667,367534.5833333333,368504.75,369676.0833333333,371182.4166666667
Louisiana,385566.25,387399.75,389267.5833333333,390513.0833333333,390361.0833333333
Maine,110664.58333333333,110741.91666666667,110648.91666666667,110852.66666666667,111325.58333333333
Maryland,494387.8333333333,497520.4166666667,500046.75,502062.6666666667,504348.0833333333
Massachusetts,559261.5,563160.4166666666,566166.8333333334,568643.4166666666,571651.5833333334
Michigan,824934.9166666666,826222.9166666666,826514.1666666666,827787.0833333334,830192.5833333334
Minnesota,451339.5,454387.4166666667,456936.5,460420.8333333333,464717.1666666667
Mississippi,248976.75,249048.16666666666,248774.75,248784.58333333334,248675.0
Missouri,503428.5,504834.5,506053.3333333333,507598.0,509461.0
Montana,84326.75,84994.25,85693.08333333333,86554.66666666667,87541.08333333333
Nebraska,155617.83333333334,156743.33333333334,157797.0,158966.91666666666,160006.33333333334
Nevada,232212.25,235977.5,240254.75,244937.83333333334,249836.58333333334
New Hampshire,110218.5,110723.66666666667,110844.5,111251.25,111899.58333333333
New Jersey,742811.25,745250.8333333334,746666.75,748201.3333333334,750470.3333333334
New Mexico,173763.41666666666,173600.58333333334,173522.0,173786.0,174005.83333333334
New York,1642709.5,1647798.3333333333,1651612.25,1653023.8333333333,1654116.5833333333
North Carolina,820817.6666666666,828430.0,836814.0833333334,846390.75,856118.25
North Dakota,60242.333333333336,61554.833333333336,62904.916666666664,62962.333333333336,62949.416666666664
Ohio,963987.0833333334,966145.0833333334,967168.9166666666,968546.1666666666,971550.75
Oklahoma,320820.0,322917.3333333333,325362.75,326767.25,327572.0
Oregon,326638.6666666667,330056.0833333333,334711.4166666667,340499.0833333333,345231.3333333333
Pennsylvania,1064870.8333333333,1065861.75,1065927.0,1065590.4166666667,1067128.0833333333
Rhode Island,87732.0,87898.5,87993.0,88130.5,88303.25
South Carolina,397155.1666666667,402063.1666666667,407701.9166666667,413318.5,418697.4166666667
South Dakota,70209.41666666667,70787.91666666667,71169.66666666667,71795.16666666667,72472.16666666667
Tennessee,540899.5833333334,545000.5833333334,549227.1666666666,554117.0,559665.3333333334
Texas,2206606.5833333335,2246203.0,2287906.6666666665,2325405.1666666665,2358716.3333333335
Utah,241663.41666666666,244889.25,248743.08333333334,253693.41666666666,258486.08333333334
Vermont,52170.333333333336,52138.75,52037.916666666664,51946.166666666664,51971.416666666664
Virginia,688474.0833333334,693075.1666666666,697230.5833333334,701198.3333333334,705835.0
Washington,580284.1666666666,587244.25,596068.1666666666,606744.5,617145.25
West Virginia,154361.08333333334,153968.66666666666,153313.91666666666,152386.41666666666,151321.41666666666
Wisconsin,478056.0833333333,479272.6666666667,479978.6666666667,481076.4166666667,482956.9166666667
Wyoming,48528.416666666664,48611.166666666664,48841.833333333336,48742.5,48276.25
