1,Massachusetts
2,South Dakota
3,Minnesota
4,Vermont
5,Connecticut
6,Iowa
7,North Dakota
8,Maine
9,Hawaii
10,New Jersey
11,Illinois
12,Maryland
13,New York
14,Delaware
15,Pennsylvania
16,Michigan
17,Nebraska
18,Kansas
19,Ohio
20,New Mexico
21,Kentucky
22,Rhode Island
23,California
24,Wisconsin
25,Georgia
26,Montana
27,Alaska
28,New Hampshire
29,Missouri
30,Wyoming
31,North Carolina
32,Florida
33,Washington
34,Arkansas
35,Oklahoma
36,Utah
37,Louisiana
38,Texas
39,Virginia
40,Alabama
41,West Virginia
42,Colorado
43,Oregon
44,South Carolina
45,Tennessee
46,Idaho
47,Indiana
48,Arizona
49,Mississippi
50,Nevada
